pelo_longo,perna_curta,late,animal
1,1,0,porco
1,1,1,cachorro
0,1,0,porco
1,1,0,porco
0,1,0,porco
1,0,1,cachorro
1,1,0,porco
1,1,0,porco
1,1,0,porco
1,1,1,cachorro
0,0,0,porco
0,0,1,cachorro
1,1,1,cachorro
1,1,1,porco
0,1,0,porco
1,0,1,cachorro
1,1,1,porco
0,1,1,cachorro
0,0,1,cachorro
0,0,0,porco
0,1,0,porco
0,0,0,porco
0,1,1,porco
1,1,1,cachorro
1,1,1,cachorro
1,0,0,porco
0,0,1,cachorro
1,1,0,porco
1,0,0,porco
1,1,0,porco
0,1,1,cachorro
0,1,1,cachorro
1,1,0,porco
1,0,1,cachorro
0,1,1,cachorro
1,0,0,porco
0,1,0,porco
0,0,1,cachorro
1,0,1,porco
0,0,0,porco
0,0,0,porco
1,1,1,cachorro
0,1,1,cachorro
1,1,0,porco
1,1,1,porco
1,1,0,porco
1,0,0,porco
0,1,0,porco
1,1,0,porco
1,0,1,cachorro
1,1,1,porco
1,0,0,porco
0,0,0,porco
1,0,0,porco
1,1,0,porco
0,1,1,cachorro
0,1,0,porco
1,1,0,porco
1,1,1,porco
1,1,1,cachorro
1,0,0,porco
1,1,1,cachorro
1,1,1,cachorro
1,0,1,porco
1,0,0,porco
1,1,1,cachorro
1,1,0,porco
0,0,1,cachorro
0,0,0,porco
0,1,0,porco
1,1,0,porco
1,1,0,porco
1,1,1,cachorro
0,1,0,porco
0,0,1,cachorro
0,0,1,cachorro
1,1,0,porco
0,1,1,cachorro
0,0,1,cachorro
1,1,1,porco
1,0,0,porco
1,0,0,porco
1,1,1,cachorro
0,0,1,cachorro
1,1,1,cachorro
1,0,0,porco
0,0,1,porco
0,1,1,cachorro
0,0,1,cachorro
0,1,1,cachorro
1,1,0,porco
0,0,0,porco
0,0,0,porco
0,1,1,cachorro
0,0,1,cachorro
1,1,1,cachorro
0,0,1,cachorro
0,1,1,cachorro
1,0,0,porco
0,0,0,porco
